825,Eunos Primary School,0101000020E6100000EDE9341CE0F959409EBE54223F31F53F
826,Geylang Methodist School (Primary),0101000020E61000007689EAAD81F859400B0275143116F53F
827,Haig Girls’ School,0101000020E6100000C4F473F9C5F95940D2EDDBFFB6FDF43F
828,Kong Hwa School,0101000020E6100000C1E270E6D7F85940E988320A38FAF43F
829,Maha Bodhi School,0101000020E610000099B624ACB2F95940D3495B012A41F53F
830,CHIJ (Our Lady of the Nativity),0101000020E6100000863B17467AF95940E1B37570B0F7F53F
831,Holy Innocents’ Primary School,0101000020E6100000D4449F8F32F95940B58B69A67BDDF53F
832,Hougang Primary School,0101000020E610000022A1D22D60F85940D2641069650CF63F
833,Montfort Junior School,0101000020E610000014048F6FEFF859408B6D52D158FBF53F
834,Paya Lebar Methodist Girls’ School (Primary),0101000020E61000000492B06FA7F8594084E7EFEF7D9BF53F
835,Punggol Primary School,0101000020E6100000CDC6EF1241F95940BC0FF6DCF809F63F
836,Xinghua Primary School,0101000020E6100000F2E0383AF8F859406E9FFAACD7B9F53F
837,Xinmin Primary School,0101000020E6100000AA7CCF4884F85940D0ECBAB722F1F53F
838,Yio Chu Kang Primary School,0101000020E61000007E9BB45FADF85940940BDF0C480CF63F
839,Fuhua Primary School,0101000020E61000004E53BAAA22EF59409CCD99A37D62F53F
840,Jurong Primary School,0101000020E61000001D5A643BDFEE594001A60C1CD092F53F
841,Yuhua Primary School,0101000020E6100000FF2F8D156BEF59401646C4DED57CF53F
842,Boon Lay Garden Primary School,0101000020E6100000A7E67283A1ED5940EA78CC40657CF53F
843,Corporation Primary School,0101000020E6100000BCAC2E4C4BED5940549FF53AF39CF53F
844,Frontier Primary School,0101000020E610000069E5B919C9EC5940382F4E7CB563F53F
845,Jurong West Primary School,0101000020E610000071AB2006BAEC5940AB24B20FB26CF53F
846,Juying Primary School,0101000020E61000009BCD3EEA0AEC5940D20AC2CBC26DF53F
847,Lakeside Primary School,0101000020E61000001DAED51EF6ED5940C1B45EC2576AF53F
848,Pioneer Primary School,0101000020E6100000B0AFD06284EC594026FDBD141E94F53F
849,Rulang Primary School,0101000020E610000075C8CD7003EE5940B0C91AF5108DF53F
850,Shuqun Primary School,0101000020E610000066B50AAC2DEE5940055E1C4B0E8EF53F
851,West Grove Primary School,0101000020E6100000CA91297ABBEC59406B0E10CCD183F53F
852,Westwood Primary School,0101000020E610000064737A83D4EC594070D9D770478EF53F
853,Xingnan Primary School,0101000020E6100000F2B5679604EC59402367614F3B7CF53F
854,Bendemeer Primary School,0101000020E61000009B6A77595DF759403B641415BB27F53F
855,Farrer Park Primary School,0101000020E6100000E2282FE873F6594063867C8626FFF43F
856,Hong Wen School,0101000020E61000005C2041F1E3F65940883B2872D225F53F
857,Ngee Ann Primary School,0101000020E61000004AA3B899C0FA5940E70F17CAD3E3F43F
858,Tanjong Katong Primary School,0101000020E61000003E6A5DB411FC5940424AA24DC431F53F
859,Tao Nan School,0101000020E6100000999D45EF54FA59401AB84D02E5E0F43F
860,Anglo-Chinese School (Primary),0101000020E610000072D586D47EF559405F494D165219F53F
861,St Joseph’s Institution Junior,0101000020E610000095BD005622F6594000C056AE5C14F53F
862,Singapore Chinese Girls’ School (Primary),0101000020E61000002BAB443415F55940D6A1E41FC720F53F
863,Casuarina Primary School,0101000020E61000008046E9D23FFD594096D86B30C3F5F53F
864,Elias Park Primary School,0101000020E6100000E31A9FC97EFC5940BF2C488ECFFFF53F
865,Meridian Primary School,0101000020E6100000800AECD6D7FB5940D6FD63213A04F63F
866,Park View Primary School,0101000020E6100000424F143221FC5940BAC788FA130BF63F
867,Pasir Ris Primary School,0101000020E61000000E4526859EFD59405B046B4194F4F53F
868,White Sands Primary School,0101000020E6100000BD079E3182FD594099897D5DE1D8F53F
869,Edgefield Primary School,0101000020E61000008FF4B3A217FA5940FFE329503068F63F
870,Greendale Primary School,0101000020E6100000E704C82B6BFA59405F9BE84E0B59F63F
871,Horizon Primary School,0101000020E61000005B7FA6B970FA59404BE5ED08A765F63F
872,Mee Toh School,0101000020E6100000B46F93F62BFA5940A28D6D63FD50F63F
873,Oasis Primary School,0101000020E610000044CF1C484DFA594055A52DAEF179F63F
874,Punggol Cove Primary School,0101000020E6100000E1AF6E6182F95940CE4939A97998F63F
875,Punggol Green Primary School,0101000020E6100000201A27CF86F959402A0F1CE1FE6DF63F
876,Punggol View Primary School,0101000020E6100000C7DFAC77EEF959403667333D177CF63F
877,Waterway Primary School,0101000020E61000002E15C039C8FA5940FD5A4D8D8662F63F
878,Fairfield Methodist School (Primary),0101000020E61000008D73E5FD49F2594089EDEE01BACFF43F
879,New Town Primary School,0101000020E61000007A97416B34F35940E2F7808AF4CCF43F
880,Queenstown Primary School,0101000020E61000007319EDA7B5F35940C40EBE8B52BDF43F
881,Canberra Primary School,0101000020E61000001004C8D031F459407C8159A14837F73F
882,Endeavour Primary School,0101000020E61000007AA05FA54CF459408BB5AE87E545F73F
883,Northoaks Primary School,0101000020E61000009CA8A5B915F4594009C6C1A5634EF73F
884,Sembawang Primary School,0101000020E61000006BA22A018CF45940BA9404F23620F73F
885,Wellington Primary School,0101000020E6100000DB464D05A6F45940FBAA01EF893AF73F
886,Anchor Green Primary School,0101000020E61000009E4E6848CBF85940BECF02FE3A41F63F
887,Compassvale Primary School,0101000020E6100000ED82C13577F95940E6CB0BB08F4EF63F
888,Fern Green Primary School,0101000020E61000000DF8A1774FF85940087F750B135CF63F
889,Fernvale Primary School,0101000020E61000009816F549EEF75940EE3F321D3A3DF63F
890,Nan Chiau Primary School,0101000020E610000003E7316FFAF85940DBEE2FCC5347F63F
891,North Spring Primary School,0101000020E6100000C3D7D7BAD4F95940B519A721AA30F63F
892,North Vista Primary School,0101000020E6100000B785425F55F95940DE9ED623C320F63F
893,Palm View Primary School,0101000020E61000008D3B4ACA02F959400814FB157C24F63F
894,Rivervale Primary School,0101000020E6100000BC033C69E1F9594032B08EE3874AF63F
895,Seng Kang Primary School,0101000020E61000006C0A647696F95940C3E457BD0D3BF63F
896,Sengkang Green Primary School,0101000020E6100000526B50EA01F85940FA3EC16AD147F63F
897,Springdale Primary School,0101000020E6100000BB59CD84F0F859400A25389AC851F63F
898,CHIJ (Our Lady of Good Counsel),0101000020E6100000584F520548F75940E1270EA0DFB7F53F
899,Rosyth School,0101000020E6100000038B0D27FAF75940B55A16026FF7F53F
900,St Gabriel’s Primary School,0101000020E61000003F202B5327F7594035351A0AE99AF53F
901,Yangzheng Primary School,0101000020E610000062F8889892F7594099976835C994F53F
902,Zhonghua Primary School,0101000020E61000008DCAF21AE0F9594042EBE1CB4431F53F
903,Angsana Primary School,0101000020E61000002A317491E7FC59401A040C811295F53F
904,Changkat Primary School,0101000020E610000015527E52EDFC594071CEE38B5172F53F
905,Chongzheng Primary School,0101000020E6100000FC8A355CE4FC5940B0AC3429059DF53F
906,East Spring Primary School,0101000020E6100000D594641D8EFD59409D685721E5A7F53F
907,Gongshang Primary School,0101000020E6100000275D4425BFFC59404FEB36A8FDB6F53F
908,Junyuan Primary School,0101000020E61000007D5EF1D423FC59409D966945E590F53F
909,Poi Ching School,0101000020E610000001AF850FDBFB5940EBB8D04B7BB9F53F
910,St Hilda’s Primary School,0101000020E6100000ACC43C2BE9FB5940644804995398F53F
911,Tampines Primary School,0101000020E6100000C26DC89A6CFC5940F07508D27B99F53F
912,Tampines North Primary School,0101000020E6100000D926158DB5FC5940FF06EDD5C7C3F53F
913,Yumin Primary School,0101000020E6100000378364A6D9FC5940AC5626FC529FF53F
914,Cedar Primary School,0101000020E6100000261C7A8B07F8594031BF89D7AB5EF53F
915,CHIJ Primary (Toa Payoh),0101000020E6100000F1304855EEF559403C6DE8C13853F53F
916,First Toa Payoh Primary School,0101000020E61000008A7269FCC2F65940E15D2EE23B71F53F
917,Kheng Cheng School,0101000020E61000007F6B274A42F65940C689AF761467F53F
918,Maris Stella High (Primary),0101000020E6100000D823795336F85940C1F979F8D777F53F
919,Marymount Convent School,0101000020E61000005B0B0E8AC1F55940B25F1C018173F53F
920,Pei Chun Public School,0101000020E61000002DDF443EF9F659401F4AB4E4F154F53F
921,St Andrew’s Junior School,0101000020E6100000A1B71DBF5CF75940B062A70EA84DF53F
922,Admiralty Primary School,0101000020E6100000134DFB4138F359407F654A90B616F73F
923,Evergreen Primary School,0101000020E6100000F24410E7E1F2594059E02BBAF51AF73F
924,Fuchun Primary School,0101000020E61000002B700DC7CEF15940D56E055E77E4F63F
925,Greenwood Primary School,0101000020E61000004E44BFB67EF3594061545227A009F73F
926,Innova Primary School,0101000020E6100000C3B986199AF25940BD46DCAD76DEF63F
927,Marsiling Primary School,0101000020E610000099220A7778F15940D427B9C326F2F63F
928,Qihua Primary School,0101000020E610000025C8ADEE7DF25940FDE31824D813F73F
929,Riverside Primary School,0101000020E61000001872118450F35940E1D05B3CBC27F73F
930,Si Ling Primary School,0101000020E6100000630B410E4AF259407E54C37E4FECF63F
931,Woodgrove Primary School,0101000020E6100000701D88D198F2594025D698C6E5EEF63F
932,Woodlands Primary School,0101000020E6100000D1CABDC0ACF259409F758D9603FDF63F
933,Woodlands Ring Primary School,0101000020E6100000E01FA5C810F3594075A26EB1ECF3F63F
934,Ahmad Ibrahim Primary School,0101000020E6100000978BF84E4CF559402B24AA0194F0F63F
935,Chongfu Primary School,0101000020E6100000CB9D9960B8F55940347A7FCD8305F73F
936,Huamin Primary School,0101000020E6100000F8F1E1A30FF6594007978E39CFD8F63F
937,Jiemin Primary School,0101000020E61000002E5915E126F559406F29E78BBDD7F63F
938,Naval Base Primary School,0101000020E6100000FD05CC8DB3F559400E4FAF9465A8F63F
939,Northland Primary School,0101000020E61000005C7347FFCBF5594005C078060DBDF63F
940,North View Primary School,0101000020E610000063F19BC24AF65940FEF0F3DF83D7F63F
941,Peiying Primary School,0101000020E61000002A63320B23F55940C5758C2B2EAEF63F
942,Xishan Primary School,0101000020E6100000AFF435269FF55940B0A1E58A9CEFF63F
943,Yishun Primary School,0101000020E6100000772167AB5CF559409630896995EFF63F
